file,study,subj,slope_or_bridge,total_trial_num,trial_type,trial_onset,trial_offset
Flex1_S19.opf,Flex1,19,s,1,w,00:07:00:580,00:07:03:266
Flex1_S19.opf,Flex1,19,s,2,w,00:07:24:346,00:07:27:984
Flex1_S19.opf,Flex1,19,s,3,w,00:07:38:932,00:07:41:312
Flex1_S19.opf,Flex1,19,s,4,w,00:08:11:300,00:08:15:856
Flex1_S19.opf,Flex1,19,s,5,w,00:08:32:686,00:08:43:124
Flex1_S19.opf,Flex1,19,s,6,w,00:09:02:436,00:09:08:760
Flex1_S19.opf,Flex1,19,s,7,w,00:09:19:198,00:09:27:868
Flex1_S19.opf,Flex1,19,s,8,w,00:09:38:000,00:09:50:138
Flex1_S19.opf,Flex1,19,s,9,f,00:10:01:188,00:10:12:136
Flex1_S19.opf,Flex1,19,s,10,f,00:10:30:598,00:10:36:310
Flex1_S19.opf,Flex1,19,s,11,w,00:11:04:462,00:11:09:596
Flex1_S19.opf,Flex1,19,s,12,s,00:11:35:130,00:11:43:664
Flex1_S19.opf,Flex1,19,s,13,w,00:12:11:714,00:12:16:270
Flex1_S19.opf,Flex1,19,s,14,w,00:12:29:700,00:12:37:350
Flex1_S19.opf,Flex1,19,s,15,w,00:12:50:984,00:12:56:594
Flex1_S19.opf,Flex1,19,s,16,f,00:13:08:052,00:13:14:920
Flex1_S19.opf,Flex1,19,s,17,s,00:13:37:156,00:13:42:766
Flex1_S19.opf,Flex1,19,s,18,s,00:14:16:188,00:14:20:302
Flex1_S19.opf,Flex1,19,s,19,s,00:14:36:248,00:14:46:380
Flex1_S19.opf,Flex1,19,s,20,s,00:15:00:184,00:15:11:982
Flex1_S19.opf,Flex1,19,s,21,s,00:15:25:276,00:15:27:622
Flex1_S19.opf,Flex1,19,s,22,w,00:16:00:466,00:16:04:478
Flex1_S19.opf,Flex1,19,s,23,w,00:16:23:586,00:16:34:160
Flex1_S19.opf,Flex1,19,s,24,s,00:16:48:202,00:16:52:724
Flex1_S19.opf,Flex1,19,s,25,w,00:17:17:544,00:17:27:472
Flex1_S19.opf,Flex1,19,s,26,w,00:17:40:290,00:17:42:942
Flex1_S19.opf,Flex1,19,s,27,s,00:18:12:488,00:18:16:398
Flex1_S19.opf,Flex1,19,s,28,w,00:18:48:392,00:18:51:078
Flex1_S19.opf,Flex1,19,s,29,s,00:19:34:870,00:19:58:806
Flex1_S19.opf,Flex1,19,s,30,w,00:20:46:440,00:20:49:772
Flex1_S19.opf,Flex1,19,s,31,s,00:21:17:142,00:21:19:862
Flex1_S19.opf,Flex1,19,s,32,w,00:21:51:618,00:21:55:698
Flex1_S19.opf,Flex1,19,s,33,s,00:22:16:268,00:22:18:240
Flex1_S19.opf,Flex1,19,s,34,w,00:22:46:426,00:22:49:894
Flex1_S19.opf,Flex1,19,s,35,s,00:23:16:448,00:23:19:508
Flex1_S19.opf,Flex1,19,s,36,w,00:23:54:766,00:23:58:574
Flex1_S19.opf,Flex1,19,s,37,s,00:24:18:464,00:24:24:108
Flex1_S19.opf,Flex1,19,s,38,w,00:25:23:608,00:25:27:620
Flex1_S19.opf,Flex1,19,b,39,w,00:26:37:252,00:26:41:570
Flex1_S19.opf,Flex1,19,b,40,w,00:26:57:108,00:27:01:460
Flex1_S19.opf,Flex1,19,b,41,w,00:27:13:326,00:27:18:222
Flex1_S19.opf,Flex1,19,b,42,w,00:27:55:384,00:27:58:546
Flex1_S19.opf,Flex1,19,b,43,w,00:28:22:278,00:28:26:698
Flex1_S19.opf,Flex1,19,b,44,w,00:28:53:728,00:29:01:412
Flex1_S19.opf,Flex1,19,b,45,w,00:29:26:198,00:29:29:734
Flex1_S19.opf,Flex1,19,b,46,w,00:29:51:188,00:29:57:988
Flex1_S19.opf,Flex1,19,b,47,w,00:30:40:760,00:30:48:682
Flex1_S19.opf,Flex1,19,b,48,w,00:31:04:322,00:31:12:584
Flex1_S19.opf,Flex1,19,b,49,f,00:31:34:480,00:32:19:190
Flex1_S19.opf,Flex1,19,b,50,s,00:32:52:306,00:33:22:940
Flex1_S19.opf,Flex1,19,b,51,w,00:34:01:020,00:34:05:440
Flex1_S19.opf,Flex1,19,b,52,w,00:34:27:064,00:34:33:830
Flex1_S19.opf,Flex1,19,b,53,s,00:34:51:714,00:35:23:436
Flex1_S19.opf,Flex1,19,b,54,w,00:36:03:488,00:36:07:296
Flex1_S19.opf,Flex1,19,b,55,w,00:36:27:322,00:36:32:422
Flex1_S19.opf,Flex1,19,b,56,w,00:36:54:998,00:37:10:876
Flex1_S19.opf,Flex1,19,b,57,w,00:37:24:136,00:37:35:288
Flex1_S19.opf,Flex1,19,b,58,s,00:37:56:878,00:38:28:668
Flex1_S19.opf,Flex1,19,b,59,w,00:38:54:712,00:39:01:036
Flex1_S19.opf,Flex1,19,b,60,s,00:39:26:706,00:39:54:552
Flex1_S19.opf,Flex1,19,b,61,w,00:40:41:098,00:40:45:518
Flex1_S19.opf,Flex1,19,b,62,s,00:41:45:800,00:42:16:468
Flex1_S19.opf,Flex1,19,b,63,w,00:42:51:828,00:42:56:724
Flex1_S19.opf,Flex1,19,b,64,w,00:43:31:404,00:43:39:564
Flex1_S19.opf,Flex1,19,b,65,w,00:44:15:298,00:44:21:010
Flex1_S19.opf,Flex1,19,b,66,s,00:44:56:132,00:44:58:852
Flex1_S19.opf,Flex1,19,b,67,w,00:46:06:988,00:46:14:502
Flex1_S19.opf,Flex1,19,b,68,s,00:47:01:252,00:47:02:408
Flex1_S19.opf,Flex1,19,b,69,s,00:48:19:248,00:48:21:152
Flex1_S19.opf,Flex1,19,b,70,w,00:48:40:464,00:48:43:966
Flex1_S19.opf,Flex1,19,b,71,s,00:49:13:682,00:49:29:798
Flex1_S19.opf,Flex1,19,b,72,w,00:50:21:308,00:50:24:572
Flex1_S19.opf,Flex1,19,b,73,w,00:50:58:708,00:51:06:732
Flex1_S19.opf,Flex1,19,b,74,w,00:51:33:660,00:51:37:672
Flex1_S30.opf,Flex1,30,b,1,w,00:07:39:000,00:07:42:502
Flex1_S30.opf,Flex1,30,b,2,w,00:08:05:226,00:08:08:444
Flex1_S30.opf,Flex1,30,b,3,w,00:08:30:306,00:08:33:400
Flex1_S30.opf,Flex1,30,b,4,w,00:08:47:306,00:08:51:760
Flex1_S30.opf,Flex1,30,b,5,w,00:09:24:502,00:09:28:548
Flex1_S30.opf,Flex1,30,b,6,w,00:09:47:316,00:09:50:852
Flex1_S30.opf,Flex1,30,b,7,w,00:10:09:518,00:10:14:686
Flex1_S30.opf,Flex1,30,b,8,w,00:10:34:814,00:10:40:934
Flex1_S30.opf,Flex1,30,b,9,w,00:11:00:110,00:11:13:846
Flex1_S30.opf,Flex1,30,b,10,s,00:11:29:894,00:12:16:338
Flex1_S30.opf,Flex1,30,b,11,w,00:12:41:702,00:12:46:496
Flex1_S30.opf,Flex1,30,b,12,w,00:13:09:242,00:13:16:382
Flex1_S30.opf,Flex1,30,b,13,f,00:13:31:444,00:13:40:216
Flex1_S30.opf,Flex1,30,b,14,s,00:13:59:936,00:14:33:018
Flex1_S30.opf,Flex1,30,b,15,w,00:15:09:228,00:15:13:784
Flex1_S30.opf,Flex1,30,b,16,w,00:15:32:892,00:15:45:472
Flex1_S30.opf,Flex1,30,b,17,s,00:16:07:062,00:16:30:420
Flex1_S30.opf,Flex1,30,b,18,w,00:17:12:682,00:17:18:360
