file,study,subj,slope_or_bridge,total_trial_num,trial_increment,trial_type,trial_onset,trial_offset
Flex1_S32.opf,Flex1,32,b,1,60,w,00:11:34:314,00:11:39:006
Flex1_S32.opf,Flex1,32,b,2,60,w,00:11:50:634,00:11:54:680
Flex1_S32.opf,Flex1,32,b,3,60,w,00:12:06:784,00:12:11:612
Flex1_S32.opf,Flex1,32,b,4,60,w,00:12:39:866,00:12:44:082
Flex1_S32.opf,Flex1,32,b,5,56,w,00:13:04:006,00:13:09:038
Flex1_S32.opf,Flex1,32,b,6,48,w,00:13:41:474,00:13:47:662
Flex1_S32.opf,Flex1,32,b,7,40,w,00:14:08:606,00:14:13:604
Flex1_S32.opf,Flex1,32,b,8,32,w,00:14:29:346,00:14:34:786
Flex1_S32.opf,Flex1,32,b,9,32,f,00:14:50:800,00:14:53:656
Flex1_S32.opf,Flex1,32,b,10,32,s,00:15:23:984,00:15:35:238
Flex1_S32.opf,Flex1,32,b,11,60,w,00:16:24:368,00:16:31:134
Flex1_S32.opf,Flex1,32,b,12,40,s,00:16:42:048,00:17:11:186
Flex1_S32.opf,Flex1,32,b,13,60,w,00:17:31:926,00:17:36:618
Flex1_S32.opf,Flex1,32,b,14,42,w,00:18:18:676,00:18:27:822
Flex1_S32.opf,Flex1,32,b,15,40,w,00:18:46:726,00:18:51:792
Flex1_S32.opf,Flex1,32,b,16,32,w,00:19:11:478,00:19:17:020
Flex1_S32.opf,Flex1,32,b,17,32,w,00:19:26:982,00:19:31:470
Flex1_S32.opf,Flex1,32,b,18,24,w,00:19:46:872,00:19:53:128
Flex1_S32.opf,Flex1,32,b,19,24,f,00:20:07:986,00:20:12:032
Flex1_S32.opf,Flex1,32,b,20,24,s,00:20:27:876,00:20:31:378
Flex1_S32.opf,Flex1,32,b,21,60,w,00:20:59:632,00:21:05:548
Flex1_S32.opf,Flex1,32,b,22,44,w,00:21:29:382,00:21:34:550
Flex1_S32.opf,Flex1,32,b,23,36,w,00:21:59:846,00:22:05:694
Flex1_S32.opf,Flex1,32,b,24,24,s,00:22:21:708,00:22:30:412
Flex1_S32.opf,Flex1,32,b,25,60,w,00:22:57:646,00:23:03:290
Flex1_S32.opf,Flex1,32,b,26,44,w,00:23:16:924,00:23:21:854
Flex1_S32.opf,Flex1,32,b,27,28,w,00:23:39:160,00:23:44:566
Flex1_S32.opf,Flex1,32,b,28,28,w,00:23:59:526,00:24:04:592
Flex1_S32.opf,Flex1,32,b,29,28,w,00:24:20:742,00:24:26:624
Flex1_S32.opf,Flex1,32,b,30,20,w,00:24:46:072,00:24:51:002
Flex1_S32.opf,Flex1,32,b,31,20,f,00:25:07:798,00:25:16:128
Flex1_S32.opf,Flex1,32,b,32,60,w,00:25:57:812,00:26:01:994
Flex1_S32.opf,Flex1,32,b,33,36,w,00:26:22:496,00:26:28:038
Flex1_S32.opf,Flex1,32,b,34,20,s,00:27:05:166,00:27:15:230
Flex1_S32.opf,Flex1,32,b,35,60,w,00:28:21:020,00:28:27:208
Flex1_S32.opf,Flex1,32,b,36,60,w,00:28:45:466,00:28:53:014
Flex1_S32.opf,Flex1,32,b,37,60,w,00:29:15:930,00:29:20:962
Flex1_S32.opf,Flex1,32,b,38,4,s,00:29:37:690,00:29:45:442
Flex1_S32.opf,Flex1,32,b,39,60,w,00:30:32:430,00:30:39:060
Flex1_S32.opf,Flex1,32,b,40,33,s,00:31:02:962,00:31:05:036
Flex1_S32.opf,Flex1,32,b,41,60,w,00:31:33:766,00:31:38:934
Flex1_S32.opf,Flex1,32,b,42,17,s,00:32:00:082,00:32:02:224
Flex1_S32.opf,Flex1,32,b,43,60,w,00:33:25:660,00:33:31:168
Flex1_S32.opf,Flex1,32,b,44,17,s,00:33:55:580,00:33:56:974
Flex1_S32.opf,Flex1,32,b,45,60,w,00:34:50:592,00:34:55:964
Flex1_S32.opf,Flex1,32,b,46,4,s,00:35:30:134,00:35:32:140
Flex1_S32.opf,Flex1,32,b,47,60,w,00:36:28:410,00:36:33:136
Flex1_S32.opf,Flex1,32,b,48,33,s,00:36:56:290,00:36:58:738
Flex1_S32.opf,Flex1,32,b,49,60,w,00:37:27:706,00:37:32:602
Flex1_S32.opf,Flex1,32,s,50,0,w,00:38:22:378,00:38:26:832
Flex1_S32.opf,Flex1,32,s,51,0,w,00:38:36:590,00:38:40:194
Flex1_S32.opf,Flex1,32,s,52,0,w,00:39:14:024,00:39:20:926
Flex1_S32.opf,Flex1,32,s,53,0,w,00:39:48:874,00:39:52:886
Flex1_S32.opf,Flex1,32,s,54,8,w,00:40:04:616,00:40:10:872
